the_geom,the_geom_webmercator,covid_status,zip_code,count,etl_timestamp
,,NEG,19176,93,2021-12-10 16:00:01
,,POS,19122,3136,2021-12-10 16:00:01
,,NEG,19130,78779,2021-12-10 16:00:01
,,POS,19147,3526,2021-12-10 16:00:01
,,POS,19148,6946,2021-12-10 16:00:01
,,POS,19123,1997,2021-12-10 16:00:01
,,NEG,19136,103457,2021-12-10 16:00:01
,,POS,19139,5393,2021-12-10 16:00:01
,,POS,19105,23,2021-12-10 16:00:01
,,POS,19136,6973,2021-12-10 16:00:01
,,NEG,19148,93978,2021-12-10 16:00:01
,,NEG,19131,98068,2021-12-10 16:00:01
,,POS,19118,788,2021-12-10 16:00:01
,,NEG,19139,92710,2021-12-10 16:00:01
,,NEG,19155,95,2021-12-10 16:00:01
,,NEG,19150,44579,2021-12-10 16:00:01
,,NEG,19123,40250,2021-12-10 16:00:01
,,NEG,19147,83680,2021-12-10 16:00:01
,,POS,19152,5609,2021-12-10 16:00:01
,,POS,19137,1115,2021-12-10 16:00:01
,,NEG,19142,44895,2021-12-10 16:00:01
